Titre;Perimetre;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Baromètre Numérique Lorraine;Régional;;;;;;;;Oui;;
Baromètre TIC Poutou-Charentes;Régional;;;Oui;;;;;;;
Diagnostics sur les équipements et usages des Technologies de l'Information et de la Communication;Régional;;;Oui;;Oui;;Oui;;;
Baromètre TIC Poitou-Charentes;Régional;;Oui;Oui;Oui;;Oui;Oui;Oui;;
Baromètre TIC ;Régional;;;;;;;;Oui;;Oui
Baromètre de la diffusion et de l'usage des TIC;Régional;;;;;Oui;;Oui;;;
recours aux services publics numériques;National;;;;;;Oui;Oui;Oui;;Oui
Baromètre des usages biens culturels sur Internet;National;;;;;Oui;Oui;Oui;Oui;;
Les TIC auprès des ménages;National;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;
données d'audience du web gouvernemental;National;;;;;;;;;Oui;Oui
Observatoire du marché des nomsde domaines en France;National;;;;;;;;Oui;Oui;Oui
Baromètre INRIA - Les français et le numérique;National;;;;;Oui;;;Oui;;
Baromètre du numérique;National;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
